,EMA,EXA,SMA,AMA1,AMA2,AXA2,AXA3
delay,4.568e-11,3.513e-10,3.7890000000000004e-11,1.646e-11,2.134e-11,2.273e-11,6.343e-11
power,1.9701074804687497e-06,1.172028492578125e-06,1.5110082421875e-06,7.093514257812498e-07,1.3730104882812498e-06,1.96394600390625e-06,2.25758579375e-06
