,EMA,EXA,SMA,AMA1,AMA2,AXA2,AXA3
delay,6.431e-11,1.1640000000000001e-10,4.1009999999999996e-11,1.334e-11,1.7409999999999998e-11,1.284e-11,6.814e-11
power,1.4997479492187498e-06,2.46531305234375e-06,1.04510205078125e-06,4.3137746093749997e-07,9.6536125e-07,1.6523100111328125e-06,1.8992066847851562e-06
