,ema,exa,sma,ama1,ama2,axa2,axa3
delay,7.667e-11,9.854e-10,3.0559999999999996e-11,,,1.432e-11,7.724e-10
power,2.8970310833333336e-07,2.5822014035416663e-07,1.55619529296875e-07,5.762601764705882e-08,2.7776131250000003e-08,7.208285158593749e-08,8.278078292968749e-08
