,EMA,EXA,SMA,AMA1,AMA2,AXA2,AXA3
delay,2.949e-11,2.5929999999999998e-11,2.3410000000000003e-11,1.334e-11,1.74e-11,1.2830000000000001e-11,2.195e-11
power,-8.322399999999999e-07,-4.659899999999999e-07,-6.840749999999999e-07,-3.956749999999999e-07,-6.5044e-07,-1.9897499999999997e-07,-1.7489499999999998e-07
