,EMA,EXA,SMA,AMA1,AMA2,AXA2,AXA3
delay,2.948e-11,2.5670000000000004e-11,,1.343e-11,,1.2779999999999998e-11,2.188e-11
power,-8.48465625e-07,-9.155562499999999e-07,-1.7941875e-08,-5.868187499999999e-07,-3.6902687499999996e-07,-3.8777812499999997e-07,-3.9738124999999996e-07
