,a,b,exact,sma,ama1,ama2,axa2,axa3
325,59,3,62,6,60,6,7,6
326,59,5,64,0,0,4,1,0
327,59,7,66,2,0,6,3,2
328,59,11,70,6,4,6,15,6
329,59,13,72,8,0,4,9,8
330,59,17,76,4,12,20,21,4
331,59,19,78,6,12,22,23,6
332,59,23,82,18,0,22,19,18
333,59,29,88,24,0,20,25,24
334,59,31,90,26,0,22,27,26
335,59,37,96,32,0,36,33,32
336,59,41,100,36,4,36,45,36
337,59,43,102,38,4,38,47,38
338,59,47,106,42,0,38,43,42
339,59,53,112,48,0,52,49,48
340,59,59,118,54,4,54,63,54
341,59,61,120,56,0,52,57,56
342,61,1,62,2,62,2,3,2
343,61,2,63,0,1,2,0,0
344,61,3,64,0,0,2,1,0
345,61,5,66,2,2,2,7,2
346,61,7,68,4,0,2,5,4
347,61,11,72,8,0,10,9,8
348,61,13,74,10,2,10,15,10
349,61,17,78,2,14,18,19,2
350,61,19,80,16,0,18,17,16
351,61,23,84,20,0,18,21,20
352,61,29,90,26,2,26,31,26
353,61,31,92,28,0,26,29,28
354,61,37,98,34,2,34,39,34
355,61,41,102,34,6,42,43,34
356,61,43,104,40,0,42,41,40
357,61,47,108,44,0,42,45,44
358,61,53,114,50,2,50,55,50
359,61,59,120,56,0,58,57,56
360,61,61,122,58,2,58,63,58
